Thermocouple 0 (deg C)	Thermocouple 1 (deg C)	Thermocouple 2 (deg C)	Thermocouple 3 (deg C)
22.051	29.407	30.955	16.049
21.605	27.219	31.420	14.346
21.422	28.923	30.118	15.053
21.833	29.768	31.378	15.788
23.562	29.751	31.439	15.984
21.804	27.892	30.916	15.456
21.804	27.933	30.380	14.029
21.810	28.415	31.597	15.605
22.446	27.856	31.648	14.586
21.228	27.960	30.705	13.708
21.320	27.825	30.544	15.105
21.891	26.486	30.838	14.305
21.649	26.468	30.775	14.052
21.236	27.967	29.017	13.808
22.831	28.520	31.914	15.847
22.777	27.443	31.559	14.703
22.245	29.681	31.431	15.747
21.733	26.854	30.289	13.862
22.339	27.081	31.361	14.306
22.586	29.202	31.800	15.673
20.542	26.455	31.079	13.688
21.737	27.014	29.481	13.677
21.694	27.571	29.623	14.268
21.550	28.075	31.910	15.055
22.632	28.426	30.569	14.261
23.201	28.873	30.722	15.309
22.775	29.293	31.267	14.837
20.530	26.656	31.093	14.140
21.376	27.029	31.237	13.946
22.594	29.320	31.415	14.929
22.602	29.053	32.344	15.472
22.645	28.602	32.247	15.420
20.715	26.784	30.080	13.344
22.089	27.055	30.600	13.473
22.078	28.152	29.940	14.283
20.254	27.840	31.028	13.264
22.989	28.755	31.479	15.197
20.050	26.732	30.757	13.361
22.684	28.154	31.736	14.835
21.730	28.967	32.228	14.619
21.268	29.006	31.248	14.266
23.956	29.267	31.404	15.124
21.586	28.601	32.589	14.711
21.264	27.880	31.357	14.447
20.690	27.282	29.540	13.090
20.606	27.103	30.695	13.007
22.319	28.630	30.340	13.800
20.323	27.503	29.126	12.980
22.518	27.671	30.652	14.702
23.486	27.733	31.123	14.770
21.889	27.733	29.873	13.285
22.028	26.658	30.180	13.120
21.951	28.734	32.479	14.942
21.585	27.743	31.946	14.313
20.795	27.628	31.574	13.773
23.582	27.772	31.054	14.645
21.125	27.499	30.873	13.625
21.712	28.030	29.087	12.780
21.305	28.214	29.309	13.059
22.832	28.360	31.573	13.973
20.344	28.073	30.441	12.675
22.170	28.147	31.984	14.511
22.137	28.556	31.967	14.266
21.151	26.325	29.882	12.532
22.788	27.643	31.050	13.643
21.829	27.595	30.800	13.930
22.269	28.148	30.729	13.018
20.735	26.419	30.826	12.934
22.527	28.982	30.873	14.554
22.033	28.138	30.988	13.404
21.729	28.136	31.307	13.026
21.039	26.276	30.142	12.800
22.393	27.543	30.866	13.953
21.613	26.770	30.364	13.144
23.038	27.778	30.811	13.754
23.709	27.759	31.023	14.106
22.170	26.720	30.049	12.999
21.082	27.128	31.070	13.175
21.173	27.036	29.341	12.706
21.458	27.303	30.901	12.423
21.401	27.170	30.057	12.113
22.762	29.747	30.992	13.923
21.826	28.327	32.115	13.762
